Brand name	Markenname
Easy to adjust the height with the handle. Pull up for general lighting and pull down for a concentrated working light.	Höhenregulierung mit einem Griff: für Allgemeinbeleuchtung hochschieben, für konzentriertes Licht herunterziehen.
You can either use the 12 tealight holders separately or linked together.	Die 12 Teelichthalter können einzeln verwendet oder miteinander verbunden werden.
The candle cup can be removed, which is useful when you want to change candles.	Abnehmbare Halter erleichtern das Auswechseln der Kerzen.
The cover is easy to keep clean as it is removable and can be machine washed.	Leicht sauber zu halten - der abnehmbare Bezug kann in der Maschine gewaschen werden.
The cover is easy to keep clean as it is removable and can be dry cleaned.	Leicht sauber zu halten - der abnehmbare Bezug kann chemisch gereinigt werden.
Soft, hard-wearing and easy care leather which is practical for families with children.	Weiches, strapazierfähiges und pflegeleichtes Leder, auch praktisch für Familien mit Kindern.
The high back gives good support for your neck.	Die hohe Rückenlehne stützt den Nackenbereich.
16 cm thick sprung mattress which gives you great sleeping comfort.	16 cm starke Federkernmatratze für guten Liegekomfort.
You can easily remove and clean the grease filter in the dishwasher.	Der spülmaschinenfeste Fettfilter kann zum Reinigen leicht herausgenommen werden.
3 grease filters included.	3 Fettfilter inkl.
Odours are effectively removed by the included charcoal filter.	Kochdünste werden durch den Kohlenstofffilter (inkl.) effektiv neutralisiert.
Sliding doors allow more room for furniture because they don’t take any space to open.	Schiebetüren sorgen für mehr Bewegungsfreiheit im Raum, da sie beim Öffnen weniger Platz erfordern.
10 cm thick foam mattress provides great sleeping comfort.	10 cm starke Matratze; guter Liegekomfort.
The open shelf makes it easy for you to see and reach your things.	In der offenen Ablage ist alles gut zu sehen und immer schnell griffbereit.
Place over the bowl to get an extra work surface on the sink.	Wird über das Spülbecken gelegt und schafft eine zusätzliche Arbeitsfläche auf der Spüle.
Wipes clean; protects the table surface against stains and spills.	Leicht sauber zu halten.
Untreated wood that can be oiled, waxed, glazed or painted.	Unbehandeltes Holz kann geölt, gewachst, lasiert oder lackiert werden.
Can be folded and put away when not in use.	Zusammenklappbar - nach Gebrauch leicht zu verstauen.
Upholstered headboard that is comfortable for both children and adults to lean against at story-time.	Das gepolsterte Kopfteil ist beim Vorlesen der Gutenachtgeschichte eine gute Rückenstütze.
Ideal when you use a wok because the burner has a double flame.	Die doppelte Gasflammen ist praktisch für das Kochen im Wok.
Triple-glazed door.	3-fach verglaste Tür.
A heat-insulated triple-glazed door with a childproof lock increases safety in your kitchen.	Die Backofentür mit hitzebeständiger Dreifachverglasung und kindersicherer Verriegelung erhöht die Sicherheit in der Küche.
The automatic defrost function determines the microwave power and time needed for defrosting the quantity of food.	Automatisches Auftauprogramm steuert die Mikrowelle nach Gewicht des Auftauguts.
Water stop system detects any leakage and automatically stops water flow.	Mehrfachwasserschutz-System lokalisiert auslaufendes Wasser und stoppt dann automatisch den Wasserzufluss.
The extendable drainage spout makes it easier for you to defrost.	Der ausziehbare Schmelzwasserablauf erleichtert das Abtauen.
The airy construction makes the moisture disappear.	Luftdurchlässige Konstruktion.
3 cm thick mattress pad of foam and polyester fibres which makes the mattress extra soft.	3 cm starke Matratzenauflage aus Polyether und Polyesterfasern erhöht den Schlafkomfort.
Easy to keep clean and fresh as it can be machine washed.	Kann in der Maschine gewaschen werden und lässt sich daher leicht sauber und hygienisch frisch halten.
Folds out for easy access to your ties - folds up to save space.	Ausgeklappt sind Krawatten schnell griffbereit, eingeklappt wird Platz gespart.
Helps you to reach clothes hanging high up.	Erleichtert den Zugriff auf Kleidungsstücke in hohen Schränken.
The drop-leaf makes it quick and easy to change the size of the table to suit your different needs.	Kann abgeklappt werden. Das spart Platz und die Tischgröße lässt sich dem Bedarf anpassen.
You save space when the table is not being used as it can be folded away.	Lässt sich nach Gebrauch abklappen und spart damit Platz.
Reversible. Same sleeping comfort on both sides.	Beidseitig verwendbar mit gleich gutem Liegekomfort.
Two-sided.	Beidseitig verwendbar.
The smooth side is somewhat firmer and cooler against the body.	Die glatte Seite ist etwas fester und kühler.
The cover is machine washable and the mattress can be washed by hand or showered clean.	Der Bezug kann in der Maschine gewaschen werden. Die Matratze lässt sich von Hand waschen oder abduschen.
Filled with soft wadding that breathes and gives a cool feel.	Die Polsterung aus Polyesterwatte sorgt für gute Luftdurchlässigkeit.
The rippled side is softer and cooler against the body.	Die gewellte Seite ist weicher und sorgt für verbesserte Luftzirkulation.
You save space when the chair is not being used as it can be folded away.	Lässt sich nach Gebrauch abklappen und spart damit Platz.
You can also use the included extension leaf as a pull-out utility surface on the longside of the table.	Die Zusatzplatte lässt sich auch als ausziehbare Abstellfläche an der Längsseite des Tisches nutzen.
You can store for example place mats, toys or magazines hidden under the seat.	Unter der Sitzfläche lassen sich Tischsets, Spielzeug, Zeitschriften usw. verstauen.
The cover is easy to take off and put on.	Bezug lässt sich einfach auf- und abziehen.
You can store for example cutlery, table napkins and candles in the space under the table top.	Die praktische Ablage unter der Tischplatte ist ideal für Besteck, Servietten, Tabletts usw.
The top sheet is big enough to be folded over e.g. a blanket.	Das Laken ist groß genug, um z.B. über eine Wolldecke geschlagen zu werden.
The touch and close fastening makes it easy to put on and take off.	Leicht umzubinden und abzunehmen dank Klettverschluss.
Baby gym, babycare mat and bag in one product.	Viele Funktionen: Gymnastikcenter fürs Baby, Wickelunterlage und Tasche.
Can be folded to save space when not in use.	Zusammenklappbar - spart Platz, wenn nicht in Gebrauch.
Building blocks of solid wood that can take rough play.	Bauklötze aus massivem Holz halten auch "wilde" Spiele aus.
Different colours and shapes stimulate children's imagination and creativity.	Verschiedene Farben und Formen regen die Fantasie und Kreativität des Kindes an.
The sink has no pre-drilled holes so you can choose where to place the tap.	Die Spüle hat keine vorgestanzte Aussparung für die Armatur. So kann man selbst den entsprechenden Platz wählen.
If you oil, wax, lacquer or stain the surface it will be more durable and easy to care for.	Durch Ölen, Lasieren oder Lackieren wird die Holzoberfläche noch strapazierfähiger und pflegeleichter.
2 table legs on castors make it easy to move the table.	Zwei Tischbeine mit Rollen - Tisch lässt sich leicht verschieben.
Locking the table legs with the hook gives extra stability.	Die Tischbeine werden mit einem Haken gesichert - so steht der Tisch stabil.
Soft anti-slip protection in the bottom.	Weicher Gleitschutz auf dem Innenboden.
The cart is both a toy and smart storage for building blocks.	Spielwagen und Aufbewahrung für Bauklötze in einem.
The remote control works through the glass, so you can control your electronic equipment with the door closed.	Da die Fernbedienung durch das Glas funktioniert, lässt sich die Lautstärke auch bei geschlossener Tür anpassen.
Helps to develop fine motor skills.	Zur Entwicklung der Feinmotorik.
Can be easily cut to the desired length without hemming.	Lässt sich leicht auf das gewünschte Maß kürzen, da es nicht gesäumt werden muss.
The slot heading allows you to hang the blind directly on a curtain rod.	Kann dank des Tunnelsaums in der Oberkante an einer Gardinenstange aufgehängt werden.
The drain hole in the seat lets water drain out.	Durch die Öffnung im Sitz kann Regenwasser ablaufen.
Can be used as a bench in the lowered position.	Mit heruntergeklapptem Kopfteil auch als Bank geeignet.
The light from the lamp gives different patterns and colours that can be projected onto the floor, wall or ceiling.	Der Lichtschein wirft unterschiedliche Muster und Farben auf Boden, Wand oder Decke.
Made of solid wood, which is a durable natural material and gentle on your knives.	Aus Massivholz, einem robusten Naturmaterial, das die Messerklingen schont.
You are protected from the sunshine all day long, since the parasol can be tilted.	Schützt dank der Kippfunktion den ganzen Tag vor Sonne.
The elastic sewn into the bottom edge adds weight to the curtain and assures that it hangs straight.	Eingenähtes Gummiband im Saum sorgt durch sein Gewicht dafür, dass der Duschvorhang gerade hängt.
The pan has a rounded interior, which makes stirring and beating easy.	Die abgerundete Innenseite erleichtert das Rühren und Mixen.
Made from heavy duty aluminium, which spreads heat very evenly and energy efficiently, making it easier to regulate heat so the food does not burn and stick.	Besonders starkes Aluminium; sorgt für schnelle, effektive Verteilung und einfache Regulierung der Hitze, sodass nichts anbrennt.
Holds 7 pictures so you can create your own personal collage.	Platz für 7 Fotos - so entstehen persönliche Collagen.
Has a paper quality that looks and feels like textile napkins.	Wirkt wie eine Stoffserviette.
The cushion can be turned over and therefore has two sides for even wear.	Die Polster sind beidseitig verwendbar und halten daher länger.
The parasol is easy to open or close by using the crank.	Der Sonnenschirm lässt sich mit der Kurbel leicht aufspannen und zuklappen.
Ideal for storing foodstuffs and small items.	Zur Aufbewahrung von Lebensmitteln und allerlei Krimskrams.
Easy to assemble – no tools required.	Leicht zu montieren, kein Werkzeug erforderlich.
Model-making helps develop fine motor skills and eye-hand coordination.	Beim Modellbauen wird  u.a. die Entwicklung von Feinmotorik und die Koordination zwischen Hand und Auge unterstützt.
The design of the lid makes VESSLA storage crate with castors stackable.	Der Deckel ist so geformt, dass sogar VESSLA Kasten auf Rollen gestapelt werden kann.
Every product is handmade and therefore unique.	Handarbeit. Jedes Exemplar ist ein Einzelstück.
With Teflon®Classic non-stick coating which means that food and pastry release easily.	Mit Teflon® Classic beschichtet - so lösen sich Aufläufe und Gebäck leicht aus der Form.
The lid is included so the bowl can also be used for storage.	Mit Deckel - so kann die Schüssel auch für Vorratshaltung genutzt werden.
Two sides in different colours.	Beidseitig verwendbar mit verschiedenfarbigen Seiten für mehr Variation.
Curtains that your child can also play with by pairing the tails with the right animals.	Gardinen, mit denen man spielen kann: z.B. jedem Tier den richtigen Schwanz zuordnen.
Possible to make different formations and has a total track length of 300 cm.	Mehrere verschiedene Bahnen können damit angelegt werden. Gesamte Bahnlänge 300 cm.
6 programs: cold pre-wash, quick wash (40°C), resource-efficient wash (50°C), daily wash ( 50°C), normal wash (65°C), heavy wash (70°C).	Sechs Programme: kalt vorspülen, Schnellprogramm 40°, Öko-/Sparprogramm 50°, Universalprogramm 50°, Normalprogramm 65° und Intensivprogramm 70°.
The castors can be set to roll stiffly or smoothly depending on how steadily the child walks.	Verstellbarer Radwiderstand: leicht- oder schwergängig - je nachdem, wie sicher das Kind läuft.
The handle can be mounted in two ways. Upright is best for beginners.	Der Griff kann in zwei Höhen montiert werden; aufrecht angebracht stützt er kleine Anfänger besonders gut.
The pull-out computer shelf can be mounted to the right or left, so you can choose what best suits your workspace.	Die ausziehbare Abstellfläche (z.B. für Rechner) kann nach Bedarf rechts oder links montiert werden.
Can be hung on GRUNDTAL rail to free up space on the worktop.	Kann an die Aufhängeleiste GRUNDTAL gehängt werden; spart Platz auf der Arbeitsfläche.
Ideal for storing desk accessories.	Zum Verwahren von Schreibutensilien.
Designed for the storage of CDs and paper (A4 size).	Passend für CDs und Papiere im A4-Format.
Easy to lift and carry as the box has handles.	Dank des Griffs leicht zu heben und zu tragen.
You can easily see the contents as the lid is transparent.	Durch den transparenten Deckel ist der Inhalt gut zu erkennen.
Label holder with paper included; indicate contents for easy overview.	Mit Etiketten und -halter; für einfaches Markieren und schnelles Wiederfinden.
Frame in solid beech, a hard-wearing natural material.	Rahmen aus massiver Buche, einem strapazierfähigen Naturmaterial.
Any rainwater runs out of the hole in the seat.	Durch die Öffnung im Sitz kann Regenwasser ablaufen.
The shade is easy to keep clean because the fabric is machine washable.	Der Schirmbezug ist abnehmbar und maschinenwaschbar.
The bed can be turned upside down and quickly changed from a low to a high bed.	Wächst mit dem Kind - einfach vom niedrigen in ein hohes Bett umbauen.
You can easily adjust the height of spotlight as you want.	Der Spot kann nach Bedarf in der Höhe verstellt werden.
The jar has an aroma-tight seal, which makes it perfect for preserving your favourite homemade jams and jellies.	Mit aromadichtem Deckel; perfekt für hausgemachte Marmelade oder Gelee.
You can adjust the height and width.	Seitlich und in der Höhe verstellbar.
Gives directional light that is good for focused lighting.	Gerichtetes Licht - gut als punktuelle Beleuchtung.
The grinding mechanism is on the top, which prevents spices getting on to the table or shelf.	Durch das Mahlwerk auf der Oberseite fällt kein Mahlgut auf Tisch oder Gewürzregal.
You can easily direct the light where you want it because the lamp arm and head are adjustable.	Verstellbarer Arm und Kopf zum optimalen Ausrichten des Lichts.
Can be used separately on a door or a wall.	Kann an einer Tür oder Wand benutzt werden.
Ideal as an end table against a wall.	An die Wand gestellt auch als Ablagetisch praktisch.
Door opens downwards; gives extra work surface.	Die Klappe öffnet sich nach unten und kann als Abstellfläche benutzt werden.
Designed both for right-handed and for left-handed persons.	Für Rechts- und Linkshänder geeignet.
Gives support and relieves pressure on the baby's soft head.	Stützt den empfindlichen Kopf des Babys und verteilt den Druck.
Touch-control panel is easy to access and use, since it is placed in the front.	Mit leicht zugänglichem Touch-Control-Bedienfeld auf der Vorderseite.
1 rapid plate offers quick warming and boiling.	1 Blitzkochplatte zum schnellen Erhitzen und Kochen.
Perfect for your summer and winter clothes.	Für die Verwahrung von Winter- bzw. Sommerkleidung.
Adjustable feet for increased stability and protection against floor moisture.	Höhenverstellbare Fußkappen sorgen für Stabilität und schützen das Möbelstück vor Bodenfeuchtigkeit.
Can be stacked to save space when not in use.	Stapelbar - spart Platz, wenn nicht in Gebrauch.
You can make use of wall space and clear floor space by building vertically.	Kann nach oben erweitert werden; nutzt Wände effektiv und schafft freie Bodenfläche.
High-quality terry cloth that is very absorbent.	Baumwollfrottee mit besonders guter Saugfähigkeit.
The cover is easy to keep clean as it is removable and can be washed.	Abnehmbarer, maschinenwaschbarer Bezug.
The ice crusher has a safety catch which prevents turning when the lid is open.	Die Sicherheitssperre verhindert das Drehen bei geöffnetem Deckel.
Change the expression of the drawers by turning them, since they have different patterns on the short sides.	Die Fächer haben zwei verschiedene Muster auf den Schmalseiten und können beliebig eingesetzt werden.
Can be used as a side table.	Als Beistelltisch verwendbar.
The storage unit stands steady also on uneven floors since it has adjustable feet.	Verstellbare Fußkappen sorgen für Standfestigkeit auch bei unebenem Boden.
Sticks to sinks, tiles etc., thanks to the suction cup.	Haftet mit Saugnapf auf Spülbecken, Kacheln usw.
You sit comfortably since the seat is adjustable.	Sehr bequem durch den verstellbaren Sitz.
You can fold the chair, so it takes less space when you're not using it.	Zusammenklappbar und daher nach Gebrauch leicht zu verstauen.
Bed base can be height adjusted in 3 positions.	Der Bettboden kann in drei verschiedenen Höhen montiert werden.
You can adjust your storage according to your needs, as the shelf is adjustable.	Versetzbarer Boden: der Abstand kann dem Bedarf angepasst werden.
Water-soluble, makes it easy to mix and dilute.	Leicht zu mischen und mit Wasser zu verdünnen.
Plastic feet give the cabinet more stability.	Mit Kunststoffkappen für gute Standfestigkeit.
Saves space because it is stackable.	Stapelbar, spart Platz.
Folding doors don't use much space when you open them and are therefore practical in smaller spaces.	Falttüren sparen Platz beim Öffnen und sind daher praktisch für kleine Räume.
Stands steady on uneven floors because they are adjustable between 21-22 cm.	Justiermöglichkeit zwischen 21 und 22 cm zum Ausgleich eventueller Unebenheiten im Boden.
Can be used on all whiteboards.	Für alle Whiteboards geeignet.
Child-safe zipper prevents children from opening the cover.	Mit kindersicherem Reißverschluss, der von Kindern nicht geöffnet werden kann.
One size, suitable for both small and large fingers.	Eine Größe - passend für große und für kleine Hände.
You can store for example toys or gloves hidden under the seat.	Praktischer Stauraum unter dem Sitz für Spielsachen, Handschuhe usw.
Converts into a table/shelf unit when the changing table is no longer needed.	Gut als Tisch/Regal geeignet, wenn es nicht mehr als Wickeltisch benutzt wird.
The leather-covered, padded seat means you sit comfortably.	Gepolsterter, lederbezogener Sitz für besonders bequemes Sitzen.
Ties at the top and hemmed at the bottom.	Schleifenbänder in der Oberkante und gesäumte Unterkante.
The cot base can be placed at two different heights.	Der Bettboden kann in zwei Höhen montiert werden.
Simple to fold up when not in use.	Lässt sich nach Gebrauch Platz sparend zusammenklappen.
Helps keep things in cabinets out of the reach of children.	Verhindert, dass Kinder Zugang zu Schränken bekommen, deren Inhalt für sie ungeeignet ist.
Easy to move around when clearing the floor of toys.	Leicht umzustellen, Spielsachen usw. sind schnell und einfach weggeräumt.
Adjustable bed sides allow you to use mattresses of different thicknesses.	Durch verstellbare Bettseiten können Matratzen in verschiedenen Stärken verwendet werden.
Perfect for keys, post and mobile phones.	Praktisch für Schlüssel, Post und als Mobiltelefonablage.
You can choose a frame to suit your space and needs since they come in several sizes.	Grundelement nach Bedarf und Platzmöglichkeit wählen. Erhältlich in verschiedenen Maßen.
The self-watering insert keeps the soil moist.	Ein spezieller Einsatz sorgt für gleichmäßige Bewässerung der Pflanze.
Swinging develops the sense of balance and body perception. It also brings a feeling of well-being and relaxation.	Schaukeln entwickelt den Gleichgewichtssinn und das Körperbewusstsein, wirkt entspannend und ausgleichend.
Keeps your accessories in place in ANTONIUS wire basket.	Zum Ordnen von Utensilien im ANTONIUS Drahtkorb.
Fits bed bases with a thickness up to 35 cm, since the bed base cover has elastic edging.	Der elastische Matratzenschonbezug passt auf Federkernbetten bis 35 cm Höhe.
Fits lamps with both large and small light bulbs because you can adjust the feating.	Flexible Halterung - für Leuchten mit kleiner oder großer Leuchtquelle geeignet.
Possible to turn, if you want a smooth surface.	Beidseitig verwendbar - eine gelochte und eine glatte Seite.
You can mount the door to open from the right or left.	Türen können mit der Öffnung nach rechts oder links angebracht werden.
Filters light and reduces reflections on TV and computer screens.	Das Gewebe filtert Licht und mindert Reflexe auf Computer- und Fernsehbildschirm.
You can view and access what's inside, as the base/high cabinet drawer can be pulled out all the way.	Guter Überblick und Zugriff dank voll ausziehbarer Schubladen in Unter-/Hochschrank.
Reduces the risk of the child reaching improper contents in drawers/cabinets.	Verhindert, dass Kinder Zugang zu Schubladen/Schränken bekommen, deren Inhalt für sie ungeeignet ist.
The stop function in both directions prevents children from closing the drawer and getting their fingers caught.	Doppelte Stoppfunktion, damit Kinder sich beim Schließen der Schublade nicht die Finger klemmen können.
Made of molybdenum/vanadium stainless steel, which is why the knife stays sharp for a very long time.	Durch die hohe Qualität des rostfreien Molybdän-Vanadium-Stahls bleibt das Messer lange scharf.
Made of molybdenum/vanadium stainless steel, which is why the knives stay sharp for a very long time.	Durch die hohe Qualität des rostfreien Chrom-Vanadium-Stahls bleiben die Klingen lange scharf.
Ergonomic design, which provides support for your hand and wrist.	Körpergerecht geformt für gute Führung in Hand und Handgelenk.
Cotton/linen blend with high absorption capacity.	Baumwoll-/Leinenmischung; sehr saugfähig.
Works as an extra seat or footstool.	Kann als zusätzliche Sitzgelegenheit oder als Fußhocker benutzt werden.
Fits GRANKULLA futon.	Passend zum GRANKULLA Futon.
Medium soft 17 cm thick mattress in polyurethane foam and polyester fibres for extra high seating comfort and posture support.	Mittelfeste, 17 cm starke Matratze aus Schaum und Fasermischung für besonders hohen Komfort im Sitzen und im Liegen.
Height adjustable armchair which you can swivel to the desired height.	Der verstellbare Drehsessel lässt sich bis zur gewünschten Höhe drehen.
Tilt the lamp the way you like it, thanks to the adjustable arm.	Leicht zu justieren durch beweglichen Leuchtenarm.
Choose between a hard or soft seating surface by adding or releasing air.	Weiche oder feste Sitzfläche gefällig? Das regelt man einfach durch mehr oder weniger Luftzufuhr.
Climbing and rocking develops children's sense of balance and body perception.	Klettern, schaukeln etc. entwickelt den Gleichgewichtssinn und das Körperbewusstsein.
Under the centre panel is a storage compartment.	Unter der Mittelplatte Fach für Stifte und Krimskrams.
The plant mover on castors makes it easier for you to move large plant pots and to clean the floor around.	Ein Pflanzenrollwagen erleichtert das Bewegen großer Blumentöpfe und das Reinigen der Oberfläche darunter.
The plant pot with castors is simple to move, for example, when you are cleaning.	Die Rollen erleichtern den Hausputz und machen den Blumentopf leicht beweglich.
The table top made of tempered glass is easy to clean and more durable than ordinary glass.	Die Platte aus gehärtetem Glas ist leicht zu reinigen und robuster als herkömmliches Glas.
Easy to fold up and put away.	Lässt sich nach Gebrauch Platz sparend zusammenklappen.
It is easy to remove stains as the chair has been treated for stain resistance.	Dank der Fleckschutzbehandlung lassen sich Verschmutzungen einfacher entfernen.
Easy to place anywhere as it is battery operated and does not need to be connected to the mains supply.	Leicht nach Wunsch zu platzieren, da durch Batteriebetrieb keine Elektroinstallation erforderlich ist.
Two-sided. Looks the same on both sides.	Beidseitig verwendbar, dadurch längere Lebensdauer.
Heavy, dense quality; absorbs light and sound, protects from people's view.	Kräftige, dichte Qualität: blickdicht, dämpft Licht, Geräusche und Zugluft.
The cushion cover is made of linen, a hard-wearing natural material with a slightly irregular texture.	Kissenbezug aus Leinen, einem strapazierfähigen Naturmaterial mit Struktur und feinem Glanz.
Can be adjusted in height between 60-90 cm to suit your needs.	Höhenverstellbar von 60-90 cm.
The castors are lockable so the unit stays in place in a locked position.	Die Rollen sind arretierbar - so steht das Möbel bei gebremsten Rollen am Platz.
You can adjust your storage according to your needs, as the shelves are adjustable.	Die versetzbaren Böden können dem Bedarf angepasst werden.
The sheer fabric lets the light in.	Lichtdurchlässiges, feines Gewebe.
Fill with as much air as needed to give the child good support.	Die Luftmenge so regulieren, dass das Kind ausreichend gestützt wird.
You can fit a computer in the cabinet, since the shelf is adjustable.	Dank des versetzbaren Bodens passt z.B. ein Computer in den Schrank.
There is good air circulation around your computer because the back is open.	Ohne Rückwand, damit der Rechner gut belüftet wird.
Iron-on hemming strip is included so you can shorten it to the desired length without sewing.	Kann auf das passende Maß gekürzt werden. Inkl. Saumband zum Aufbügeln.
Press together when not in use to save space.	Faltbar - spart Platz, wenn nicht benötigt.
You can adjust the height of the table top electrically from 68 to 123 cm to ensure an ergonomic working position.	Die elektrische Höhenregulierung zwischen 68 und 123 cm verhilft zu ergonomisch richtiger Arbeitshaltung.
You can easily wheel the storage unit on castors under a table to save space.	Das Schubladenelement auf Rollen kann Platz sparend unter den Tisch geschoben werden.
Your lumbar region gets support and your back is relieved by the height- adjustable backrest.	Höhenverstellbare Rückenlehne für gute Unterstützung des unteren Rückens und der Wirbelsäule.
The cover is easy to keep clean since it is removable and dry cleanable.	Leicht sauber zu halten - der abnehmbare Bezug kann chemisch gereinigt werden.
The pad cover is easy to keep clean since it is removable and machine washable.	Kissen mit maschinenwaschbarem Bezug, leicht sauber zu halten.
Solid wood can be sanded and surface treated as needed.	Massivholz kann bei Bedarf geschliffen und oberflächenbehandelt werden.
Solid wood can be cut to the desired length.	Massivholz, kann auf das gewünschte Maß gekürzt werden.
The cover can be dry cleaned.	Der abnehmbare Bezug kann chemisch gereinigt werden.
You can customise spacing as you need, because the shelves and rods are adjustable.	Mit versetzbaren Böden und Stangen; der Abstand dazwischen kann dem Bedarf angepasst werden.
The soft velour is very pleasant to sit on.	Flauschige Veloursqualität, besonders weich und bequem.
Hemmed bottom edge.	Gesäumte Unterkante.
Can be folded to save space.	Zusammenklappbar - spart Platz, wenn nicht in Gebrauch.
Four functions - sofa, single bed, double bed and storage solution.	Vier Funktionen: Sofa, Aufbewahrung, Einzel- und Doppelbett.
Anti-slip cover on top reduces the risk of slippage.	Gleitschutz auf der Oberseite reduziert die Rutschgefahr.
Anti-slip material on the underside makes the stool stand steady.	Gleitschutz auf der Unterseite verhindert Verrutschen.
A flexible and mobile solution with many different functions - perfect where space is limited.	Eine vielseitige, variabel einsatzfähige Lösung - perfekt bei wenig Platz.
Soft and comfortable with a water-repellent surface layer.	Weich und elastisch mit Wasser abstoßender Beschichtung.
Plate and bowl stand firmly thanks to the anti-slip material on the underside.	Teller und Schüssel verrutschen nicht dank Gleitschutz auf der Unterseite.
The beaker is graduated in ml/oz so you can see how much the child has consumed.	Anhand der Skala lässt sich feststellen, wieviel das Kind getrunken hat.
The lid is formed with room for a child's nose so it is comfortable to drink from, without leaning the head back.	Dank der Deckelform kann das Kind leicht daraus trinken, ohne den Kopf weit nach hinten zu beugen.
Handles of soft plastic give a firm grip.	Griffe aus weichem Kunststoff sorgen für sicheren Halt.
Long handle makes it easier to take up food from a baby food jar without getting your fingers sticky.	Dank dem langen Stiel lässt sich Kindernahrung ohne Kleckern aus dem Gläschen nehmen.
Anti-slip material makes the plate stay in place on the table.	Aus rutschfestem Material.
The raised edge prevents spills from reaching the table.	Die erhöhten Kanten verhindern, dass der Tisch bekleckert wird.
Relieves pressure and is soft and comfortable to sit and lean against.	Weiche, elastische Kissen, bequem zum Sitzen und Anlehnen.
Easy to clean, rinse off or wash in the dishwasher.	Einfach sauber zu halten; einfach abspülen oder in die Spülmaschine geben.
The neck width can be easily adjusted with the long strips of touch and close fastening.	Halsweite einstellbar durch langen Klettverschluss.
Extra broad base makes it sturdy and stable.	Steht stabil dank besonders breiter Standfläche.
Anti-slip material makes the mug stay in place on the table.	Gleitschutz auf der Unterseite; der Becher verrutscht nicht.
Robust plastic handles for a firm grip.	Stabile Kunststoffgriffe erleichtern das Festhalten.
The waistline makes that glass easier to grip for a child.	Das kleine Glas mit verjüngter Mitte ist für Kinder leicht zu greifen.
The cushion can be machine washed.	Das komplette Kissen ist maschinenwaschbar.
The cover can be removed and washed separately.	Wenn nur der Bezug verschmutzt ist, lässt er sich leicht abziehen und waschen.
Spoon with holder and a fun companion at mealtime.	Der Pinguin dient als Löffelhalter und leistet gleichzeitig dem Kind beim Essen Gesellschaft.
The robust handles make it easy for a child to grip.	Durch stabile Griffe für Kinder leicht zu festzuhalten.
The hat is also a lid that prevents spills if you take the beaker on a trip or excursion.	Mit Deckel. So kann man den gefüllten Becher unbesorgt auch unterwegs benutzen.
The fittings are adjustable in depth, which will compensate for possible irregularities in the wall.	Der Beschlag ist zum Ausgleich von Wandunebenheiten in der Tiefe verstellbar.
Tempered glass – extra resistant to heat, impacts and heavy loads.	Gehärtetes Glas - belastbar, stoß- und hitzefest.
Protects the pillow from stains and dirt which prolongs its life.	Schützt das Kissen vor Verschmutzung, erhöht Hygiene und Haltbarkeit.
To be hung on a shelf and easy to move.	Wird an Regalböden angehängt, lässt sich bei Bedarf einfach umplatzieren.
2 reinforced shelves offer extra stability for built-in appliances.	2 verstärkte Böden sorgen für erhöhte Stabilität beim Einbau von Elektrogeräten.
Makes rinsing dishes easier as you can pull out the handspray and choose between two different water streams.	Vereinfacht das Abspülen des Geschirrs durch ausziehbaren Schlauch und Brause mit zwei Druckstärken.
You can customise your storage as needed, because the shelf is adjustable and the divider can be removed.	Die Abtrennung kann herausgenommen werden und der Boden ist in drei Höhen versetzbar.
Protect the worktop by attaching the 2 included laminate edging strips to the edges.	Mit 2 Laminatumleimern zum Schutz der Kanten.
A panel door hides your belongings and protects them from dust.	Die Tür sorgt für geschlossene und staubfreie Aufbewahrung.
Each lamp is unique because the glass is mouthblown.	Mundgeblasenes Glas - jede Leuchte ist ein Einzelstück.
You can hang it horizontally or vertically.	Kann senkrecht oder waagrecht montiert werden.
A bookcase with the glass door can display your books and protect them from dust.	Schrank mit Türen für geschlossenes und staubfreies Aufbewahren.
The cabinet has a cord outlet so that you can easily gather all cords in one place.	Der Schrank hat eine Kabelöffnung auf der Rückseite. Kabel können übersichtlich geordnet und geleitet werden.
Panel doors conceal your belongings and protect them from dust.	Mit Türen für geschlossene und staubfreie Aufbewahrung.
Easy to fold up and easy to move.	Leicht zusammenzuklappen und einfach umzustellen.
You get a lot of extra storage space if you complement with bed storage boxes under the bed.	Mit Bettkästen lässt sich der Platz unter dem Bett in wertvolle Aufbewahrungsfläche verwandeln.
The adjustable back means you can choose whether you want to sit or recline.	Rücken verstellbar zum Sitzen oder Ruhen.
Easy to keep clean since you can remove the cover and wash it by machine.	Einfach sauber zu halten durch abnehmbaren, maschinenwaschbaren Bezug.
You can store for example toys, cookery books and magazines under the seat.	Praktische Aufbewahrung unter dem Sitz, z. B. für Spielsachen, Kochbücher oder Zeitschriften.
You can store the 2 included extra leaves within easy reach under the table top.	Mit 2 Zusatzplatten, die nach Gebrauch unter der Tischplatte Platz finden.
Less risk of children hitting their head as the table has rounded corners.	Abgerundete Ecken verringern das Verletzungsrisiko für Kinder.
You can store the included extension leaf within easy reach under the table top.	Die Zusatzplatte lässt sich leicht zugänglich unter der Tischplatte verstauen.
Solid wood is a hard-wearing natural material.	Massivholz ist ein strapazierfähiges Naturmaterial.
Minimises the risk of a child reaching "improper" contents in drawers or cabinets.	Verhindert, dass Kinder Zugang zu Schubladen/Schränken bekommen, deren Inhalt für sie ungeeignet ist.
